#,Party,Total Contestants,Won,Second,Third,Party Votes,Valid Votes %,Valid Votes % (Contested),AC Leads,AC Second,AC Third
435,Tamil Telugu National Party,1,0,0,0,"2,516",0%,0.30%,0,0,0
436,Kannada Chalavali Vatal Paksha,1,0,0,0,"2,510",0%,0.20%,0,0,0
437,Jansatta Party,2,0,0,0,"2,484",0%,0.10%,0,0,0
438,Bharatiya Minorities Suraksha Mahasangh,2,0,0,0,"2,484",0%,0.10%,0,0,0
439,Voters Party,2,0,0,0,"2,478",0%,0.10%,0,0,0
440,Mahamukti Dal,1,0,0,0,"2,477",0%,0.20%,0,0,0
441,Nirbhay Bharteey Party,1,0,0,0,"2,449",0%,0.20%,0,0,0
442,Mahasankalp Janta Party,2,0,0,0,"2,427",0%,0.10%,0,0,0
443,Kisan Raj Party,1,0,0,0,"2,426",0%,0.20%,0,0,0
444,Samajwadi Samaj Party,1,0,0,0,"2,417",0%,0.20%,0,0,0
445,Lok  Chetna  Dal,1,0,0,0,"2,384",0%,0.20%,0,0,0
446,Navbharat Ekta Dal,1,0,0,0,"2,371",0%,0.20%,0,0,0
447,Janta Raj Vikas Party,1,0,0,0,"2,364",0%,0.20%,0,0,0
448,Adarsh Nyay Rakshak Party,1,0,0,0,"2,360",0%,0.20%,0,0,0
449,Netaji Subhash Chander Bose Rashtriyaazad Party,1,0,0,0,"2,342",0%,0.20%,0,0,0
450,Janta Raj Party,2,0,0,0,"2,308",0%,0.10%,0,0,0
451,Rashtriya Bharatiya Jan Jan Party,2,0,0,0,"2,291",0%,0.10%,0,0,0
452,Rashtriya Aamjan Party,1,0,0,0,"2,272",0%,0.20%,0,0,0
453,Samrat Ashok Sena Party,1,0,0,0,"2,214",0%,0.20%,0,0,0
454,Bharatiya Bahujan Samta Party,2,0,0,0,"2,210",0%,0.10%,0,0,0
455,Svatantra Bharat Satyagrah Party,2,0,0,0,"2,142",0%,0.10%,0,0,0
456,Hind Congress Party,2,0,0,0,"2,094",0%,0.10%,0,0,0
457,Tripura Peoples Party,1,0,0,0,"2,076",0%,0.20%,0,0,0
458,Swatantra Samaj Party,1,0,0,0,"2,069",0%,0.20%,0,0,0
459,Rashtriya Janmat Party,1,0,0,0,"2,058",0%,0.20%,0,0,0
460,Uttar Pradesh Navnirman Sena,1,0,0,0,"2,051",0%,0.20%,0,0,0
461,Sajag Samaj Party,1,0,0,0,"2,041",0%,0.20%,0,0,0
462,Uttarakhand Pragatisheel Party,2,0,0,0,"2,041",0%,0.10%,0,0,0
463,All India Praja Party,3,0,0,0,"2,023",0%,0.10%,0,0,0
464,Andaman & Nicobar Janta Party,1,0,0,0,"2,017",0%,0.20%,0,0,0
465,Karnataka Jantha Paksha,2,0,0,0,"2,013",0%,0.10%,0,0,0
466,Indian Rakshaka Nayakudu Party,1,0,0,0,"2,012",0%,0.20%,0,0,0
467,All India Uzhavargal Uzhaippalargal Katchi,1,0,0,0,"1,999",0%,0.20%,0,0,0
468,Hamro Sikkim Party,1,0,0,0,"1,998",0%,0.60%,0,0,0
469,Bhartiya Bhaichara Party,2,0,0,0,"1,995",0%,0.10%,0,0,0
470,Sangharsh Sena,1,0,0,0,"1,987",0%,0.20%,0,0,0
471,Adhunik Bharat Party,1,0,0,0,"1,976",0%,0.20%,0,0,0
472,Rashtrawadi Chetna Party,1,0,0,0,"1,975",0%,0.20%,0,0,0
473,Rashtriya Aadarsh Member Party,1,0,0,0,"1,965",0%,0.20%,0,0,0
474,Sanman Rajkiya Paksha,1,0,0,0,"1,961",0%,0.20%,0,0,0
475,Bharatiya Sampuran Krantikari Party,1,0,0,0,"1,948",0%,0.20%,0,0,0
476,Rashtriya Dal United,1,0,0,0,"1,907",0%,0.20%,0,0,0
477,Samajwadi Jan Parishad,1,0,0,0,"1,899",0%,0.10%,0,0,0
478,Bhartiya Harit Party,1,0,0,0,"1,886",0%,0.10%,0,0,0
479,Bhartiya Sarvjan Hitey Samaj Party,1,0,0,0,"1,852",0%,0.20%,0,0,0
480,Rashtriya Gondvana Party,1,0,0,0,"1,850",0%,0.10%,0,0,0
481,All India Minorities Front,3,0,0,0,"1,850",0%,0.10%,0,0,0
482,Bundelkhand Kranti Dal,1,0,0,0,"1,849",0%,0.10%,0,0,0
483,Republican Bahujan Sena,1,0,0,0,"1,820",0%,0.20%,0,0,0
484,Jan Adesh Akshuni Sena,1,0,0,0,"1,812",0%,0.20%,0,0,0
485,Bhartiya Kisan Union Samaj Party,1,0,0,0,"1,786",0%,0.10%,0,0,0
486,Manipur Peoples Party,1,0,0,0,"1,783",0%,0.20%,0,0,0
487,Rashtriya Bhagidari Samaj Party,1,0,0,0,"1,777",0%,0.20%,0,0,0
488,Republican Party Of India (Reformist),2,0,0,0,"1,777",0%,0.10%,0,0,0
489,Rashtriya Matadata Party,1,0,0,0,"1,771",0%,0.20%,0,0,0
490,Ahila India Dhayaga Makkal Munnetra Katchi,1,0,0,0,"1,765",0%,0.20%,0,0,0
491,Al-Hind Party,2,0,0,0,"1,764",0%,0.10%,0,0,0
492,Rashtriya Garib Dal,2,0,0,0,"1,749",0%,0.10%,0,0,0
493,Vishwa Jana Party,2,0,0,0,"1,726",0%,0.10%,0,0,0
494,Independent People’s Party,1,0,0,0,"1,723",0%,0.10%,0,0,0
495,Bharatiya Rashtravadi Samanta Party,1,0,0,0,"1,695",0%,0.20%,0,0,0
496,Pravasi Nivasi Party,1,0,0,0,"1,695",0%,0.20%,0,0,0
497,Shri Janta Party,1,0,0,0,"1,672",0%,0.20%,0,0,0
498,Mazdoor Dalit Kisaan Mahila Gareeb Party (Hindustani),1,0,0,0,"1,669",0%,0.20%,0,0,0
499,Telangana Communist Party Of India,1,0,0,0,"1,660",0%,0.10%,0,0,0
500,Bharatiya Peoples Party,1,0,0,0,"1,649",0%,0.10%,0,0,0
501,Rashtriya Samrasta Party,3,0,0,0,"1,648",0%,0.10%,0,0,0
502,Rashtriya Naujawan Dal,1,0,0,0,"1,630",0%,0.10%,0,0,0
503,National Lokmat Party,1,0,0,0,"1,628",0%,0.20%,0,0,0
504,Jammu & Kashmir Pir Panjal Awami Party,1,0,0,0,"1,612",0%,0.10%,0,0,0
505,Rashtriya Jantantrik Bharat Vikas Party,1,0,0,0,"1,600",0%,0.10%,0,0,0
506,Rashtriya Jan  Adhikar Party,2,0,0,0,"1,596",0%,0.10%,0,0,0
507,Rashtriya Bahujan Congress Party,1,0,0,0,"1,574",0%,0.10%,0,0,0
508,Kisan Majdoor Berojgar Sangh,1,0,0,0,"1,574",0%,0.20%,0,0,0
509,Jwala Dal,1,0,0,0,"1,572",0%,0.10%,0,0,0
510,Akhil Bharatiya Sena,1,0,0,0,"1,567",0%,0.10%,0,0,0
511,Andhra Rastra Praja Samithi,1,0,0,0,"1,563",0%,0.10%,0,0,0
512,Jan Shakti Ekta Party,1,0,0,0,"1,557",0%,0.10%,0,0,0
513,Dr. Bhimrao Ambedkar Dal,1,0,0,0,"1,549",0%,0.10%,0,0,0
514,Rashtrawadi Shramjeevi Dal,1,0,0,0,"1,548",0%,0.20%,0,0,0
515,Vishwa Manav Samaj Kalyan Parishad,1,0,0,0,"1,529",0%,0.20%,0,0,0
516,Bhartiya Azad Sena,1,0,0,0,"1,527",0%,0.10%,0,0,0
517,Gujarat Janta Panchayat Party,1,0,0,0,"1,524",0%,0.20%,0,0,0
518,Forward Democratic Labour Party,1,0,0,0,"1,519",0%,0.10%,0,0,0
519,Republican Paksha (Khoripa),1,0,0,0,"1,506",0%,0.10%,0,0,0
520,Sikkim Republican Party,1,0,0,0,"1,503",0%,0.40%,0,0,0
521,Praja Satta Party,2,0,0,0,"1,462",0%,0.10%,0,0,0
522,National Bhrashtachar Mukt Party,1,0,0,0,"1,453",0%,0.10%,0,0,0
523,Engineers Party,1,0,0,0,"1,442",0%,0.10%,0,0,0
524,Bhapase Party,1,0,0,0,"1,434",0%,0.10%,0,0,0
525,Hum Sabki Party,1,0,0,0,"1,432",0%,0.10%,0,0,0
526,Jai Hind Samaj Party,1,0,0,0,"1,431",0%,0.10%,0,0,0
527,Rastriya Aam Jan Seva Party,1,0,0,0,"1,425",0%,0.10%,0,0,0
528,Ahinsa Samaj Party,1,0,0,0,"1,424",0%,0.10%,0,0,0
529,Rashtriya Janvikas Party (Democratic),1,0,0,0,"1,414",0%,0.10%,0,0,0
530,Prism,5,0,0,0,"1,400",0%,0%,0,0,0
531,Bhartiya Jan Sampark Party,1,0,0,0,"1,392",0%,0.10%,0,0,0
532,Sabse Achchhi Party,2,0,0,0,"1,360",0%,0.10%,0,0,0
533,Prajatantra Aadhar Party,1,0,0,0,"1,346",0%,0.10%,0,0,0
534,Manav Kranti Party,1,0,0,0,"1,344",0%,0.10%,0,0,0
535,Navodayam Party,2,0,0,0,"1,341",0%,0.10%,0,0,0
536,Kalyankari Jantantrik Party,1,0,0,0,"1,336",0%,0.10%,0,0,0
537,Rashtriya Vyapari Party,1,0,0,0,"1,326",0%,0.10%,0,0,0
538,Yekikrutha Sankshema Rashtriya Praja Party,1,0,0,0,"1,320",0%,0.10%,0,0,0
539,Puducherry Development Party,1,0,0,0,"1,319",0%,0.20%,0,0,0
540,National Fifty Fifty Front,1,0,0,0,"1,308",0%,0.10%,0,0,0
541,Shane Hind Fourm,1,0,0,0,"1,306",0%,0.10%,0,0,0
542,Yuva Sarkar,2,0,0,0,"1,296",0%,0.10%,0,0,0
543,Rashtra Vikas Zumbes Party,1,0,0,0,"1,290",0%,0.10%,0,0,0
544,All Indian Rajiv Congress Party,1,0,0,0,"1,282",0%,0.10%,0,0,0
545,Anjaan Aadmi Party,1,0,0,0,"1,281",0%,0.10%,0,0,0
546,Ekta Samaj Party,1,0,0,0,"1,270",0%,0.10%,0,0,0
547,Bharatiya Bahujan Parivartan  Party,1,0,0,0,"1,268",0%,0.10%,0,0,0
548,Rashtriya Janta Party,1,0,0,0,"1,264",0%,0.10%,0,0,0
549,Andhra Chaitanya Party,1,0,0,0,"1,263",0%,0.10%,0,0,0
550,Rashtriya Ambedkar Dal,1,0,0,0,"1,258",0%,0.10%,0,0,0
551,Manipur Democratic Peoples's Front,1,0,0,0,"1,256",0%,0.20%,0,0,0
552,Jharkhand Party (Secular),1,0,0,0,"1,244",0%,0.10%,0,0,0
553,United States Of India Party,1,0,0,0,"1,244",0%,0.10%,0,0,0
554,Rashtravadi Party (Bharat),1,0,0,0,"1,225",0%,0.10%,0,0,0
555,Prem Janata Dal,1,0,0,0,"1,223",0%,0.10%,0,0,0
556,Rayalaseema Rashtra Samithi,1,0,0,0,"1,223",0%,0.10%,0,0,0
557,Radical Democrats,1,0,0,0,"1,220",0%,0.10%,0,0,0
558,Bhartiya Jan Samman Party,2,0,0,0,"1,218",0%,0.10%,0,0,0
559,Karnataka Pragnyavantha Janatha Party,1,0,0,0,"1,207",0%,0.10%,0,0,0
560,Bharatiya Prajagala Kalyana Paksha,2,0,0,0,"1,184",0%,0%,0,0,0
561,Navsarjan Bharat Party,1,0,0,0,"1,160",0%,0.60%,0,0,0
562,National Development Party,1,0,0,0,"1,138",0%,0.10%,0,0,0
563,Navataram Party,1,0,0,0,"1,135",0%,0.10%,0,0,0
564,Lokjagar Party,1,0,0,0,"1,135",0%,0.10%,0,0,0
565,Makkalatchi Katchi,2,0,0,0,"1,115",0%,0.10%,0,0,0
566,Vivasayigal Makkal Munnetra Katchi,1,0,0,0,"1,108",0%,0.10%,0,0,0
567,Sarvjan Sewa Party,2,0,0,0,"1,085",0%,0.10%,0,0,0
568,Bharatiya Bahujan Party,1,0,0,0,"1,069",0%,0.10%,0,0,0
569,Rashtriya Janwadi Party (Socialist),1,0,0,0,"1,060",0%,0.10%,0,0,0
570,New India Party,2,0,0,0,"1,059",0%,0.10%,0,0,0
571,Jai Swaraj Party,1,0,0,0,"1,056",0%,0.10%,0,0,0
572,Bharatiya Jan Morcha Party,1,0,0,0,"1,055",0%,0.10%,0,0,0
573,National Youth Party,2,0,0,0,"1,053",0%,0%,0,0,0
574,Telangana Sakalajanula Party,1,0,0,0,"1,048",0%,0.10%,0,0,0
575,Bharatiya Naujawan Dal,1,0,0,0,"1,047",0%,0.10%,0,0,0
576,National Apni Party,1,0,0,0,"1,044",0%,0.10%,0,0,0
577,Hindu Samaj Party,1,0,0,0,"1,014",0%,0.10%,0,0,0
578,Bahujana Raajyam Party (Phule Ambedkar),1,0,0,0,"1,008",0%,0.10%,0,0,0
579,Akhil Bhartiya Ekata Party,1,0,0,0,"1,006",0%,0.10%,0,0,0
580,Rashtriya Praja Congress (Secular),1,0,0,0,996,0%,0.10%,0,0,0
581,Bharatiya Rashtravadi Paksha,1,0,0,0,992,0%,0.10%,0,0,0
582,Navnirman Party,1,0,0,0,985,0%,0.10%,0,0,0
583,Bhartiya Vanchitsamaj Party,1,0,0,0,984,0%,0.10%,0,0,0
584,Shiromani Lok Dal Party,1,0,0,0,984,0%,0.10%,0,0,0
585,Mera Adhikaar Rashtriya Dal,2,0,0,0,973,0%,0%,0,0,0
586,Ahimsa Socialist Party,1,0,0,0,972,0%,0.10%,0,0,0
587,Himachal Jan Kranti Party,1,0,0,0,970,0%,0.10%,0,0,0
588,Lok Jan Sangharsh Party,1,0,0,0,968,0%,0.10%,0,0,0
589,Challengers Party,2,0,0,0,958,0%,0%,0,0,0
590,Bhartiya Naujawan Inklav Party,1,0,0,0,932,0%,0.10%,0,0,0
591,Ambedkar Yug Party,1,0,0,0,921,0%,0.10%,0,0,0
592,Janapaalana Party (Democratic),1,0,0,0,913,0%,0.10%,0,0,0
593,All Pensioners Party,1,0,0,0,892,0%,0.10%,0,0,0
594,National Nava Kranthi Party,1,0,0,0,887,0%,0.10%,0,0,0
595,Akhil Bharatiya Manavata Paksha,2,0,0,0,885,0%,0%,0,0,0
596,Saaf Party,2,0,0,0,882,0%,0%,0,0,0
597,Hamari Apni Party,1,0,0,0,847,0%,0.10%,0,0,0
598,Adarshwaadi Congress Party,1,0,0,0,838,0%,0.10%,0,0,0
599,Azad Mazdoor Kissan Party,1,0,0,0,829,0%,0.10%,0,0,0
600,Bharatiya Sarvodaya Kranti Party,1,0,0,0,829,0%,0.10%,0,0,0
601,Indian Gandhiyan Party,2,0,0,0,824,0%,0%,0,0,0
602,Bharatiya Majdoor Janta Party,1,0,0,0,822,0%,0.10%,0,0,0
603,The Future India Party,1,0,0,0,820,0%,0.10%,0,0,0
604,Rashtriya Nav Nirman Bharat Party,1,0,0,0,811,0%,0.10%,0,0,0
605,Raita Bharat Party,1,0,0,0,811,0%,0.10%,0,0,0
606,Socialist Janta Party,1,0,0,0,805,0%,0.10%,0,0,0
607,Rashtriya Mangalam Party,1,0,0,0,798,0%,0.10%,0,0,0
608,Rashtriya Janutthan Party,1,0,0,0,776,0%,0.10%,0,0,0
609,Ilantamilar Munnani Kazhagam,1,0,0,0,748,0%,0.10%,0,0,0
610,Rashtriya Janhit Sangharsh Party,1,0,0,0,747,0%,0.10%,0,0,0
611,Bahujan Suraksha Dal,1,0,0,0,743,0%,0.10%,0,0,0
612,Sarvodaya Prabhat Party,1,0,0,0,740,0%,0.10%,0,0,0
613,Akhil Bhartiya Sarvadharma Samaj Party,1,0,0,0,735,0%,0.10%,0,0,0
614,Samajtantric Party Of India,1,0,0,0,730,0%,0.10%,0,0,0
615,Bhartiya Pragatisheel Congress,1,0,0,0,724,0%,0.10%,0,0,0
616,Inqalab Vikas Dal,1,0,0,0,718,0%,0.10%,0,0,0
617,Adim Bhartiya Dal,1,0,0,0,716,0%,0.10%,0,0,0
618,Jan Sangh Party,1,0,0,0,712,0%,0.10%,0,0,0
619,Loktantrik Rashrtavadi Party,1,0,0,0,705,0%,0.10%,0,0,0
620,Rashtriya Jansena Party,1,0,0,0,699,0%,0.10%,0,0,0
621,Jai Vijaya Bharathi Party,1,0,0,0,696,0%,0%,0,0,0
622,Punjab Labour Party,1,0,0,0,692,0%,0.10%,0,0,0
623,Universal Brotherhood Movement,1,0,0,0,689,0%,0.10%,0,0,0
624,Sarv Vikas Party,1,0,0,0,688,0%,0.10%,0,0,0
625,Majdoor Kisan Union Party,1,0,0,0,687,0%,0.10%,0,0,0
626,Khusro Sena Party,1,0,0,0,687,0%,0.10%,0,0,0
627,B. C. United Front,1,0,0,0,649,0%,0.10%,0,0,0
628,Anaithu Makkal Katchi,1,0,0,0,645,0%,0.10%,0,0,0
629,Akila India Vallalar Peravai,1,0,0,0,643,0%,0.10%,0,0,0
630,National Dalitha Dhal Party,1,0,0,0,628,0%,0%,0,0,0
631,Bhartiya Navodaya Party,1,0,0,0,619,0%,0.10%,0,0,0
632,Sikkim United Front,1,0,0,0,614,0%,0.20%,0,0,0
633,Mahila & Yuva Shakti Party,1,0,0,0,605,0%,0.10%,0,0,0
634,Democratic Corruption Liberation Front,1,0,0,0,596,0%,0.10%,0,0,0
635,Rashtriya Backward Party,1,0,0,0,584,0%,0.10%,0,0,0
636,Fauji Janta Party,1,0,0,0,564,0%,0%,0,0,0
637,Aadarsh Janata Sewa Party,1,0,0,0,551,0%,0%,0,0,0
638,People’s Union Party,1,0,0,0,547,0%,0.10%,0,0,0
639,Rashtriya Jatigat Aarakshan Virodhi Party,1,0,0,0,535,0%,0%,0,0,0
640,Real Democracy Party,1,0,0,0,532,0%,0.10%,0,0,0
641,Swarnim Bharat Inquilab,1,0,0,0,527,0%,0%,0,0,0
642,Telangana Prajala Party,1,0,0,0,521,0%,0.10%,0,0,0
643,Kartavya Rashtriya Party,1,0,0,0,512,0%,0%,0,0,0
644,Akhil Bhartiya Lok Dal,1,0,0,0,503,0%,0%,0,0,0
645,Bahujan Samyak Party (Mission),1,0,0,0,501,0%,0%,0,0,0
646,Democratic Party Of India,1,0,0,0,499,0%,0%,0,0,0
647,Christian Democratic Front,1,0,0,0,494,0%,0.10%,0,0,0
648,Bhartiya Janta Dal,1,0,0,0,489,0%,0%,0,0,0
649,Lokpriya Samaj Party,1,0,0,0,478,0%,0%,0,0,0
650,Rashtriya Vikas Party,1,0,0,0,477,0%,0%,0,0,0
651,Rashtravadi Kranti Dal,1,0,0,0,475,0%,0.10%,0,0,0
652,Jai Lok Party,1,0,0,0,473,0%,0%,0,0,0
653,Bharatrashtra Democratic Party,1,0,0,0,472,0%,0%,0,0,0
654,Bhartiya Rashtrawadi Party,1,0,0,0,461,0%,0.10%,0,0,0
655,United Democratic Front Secular,1,0,0,0,451,0%,0%,0,0,0
656,Hardam Manavtawadi Rashtriya Dal,1,0,0,0,447,0%,0%,0,0,0
657,Rashtriya Ahinsa Manch,1,0,0,0,440,0%,0%,0,0,0
658,Bhartiya Janta Dal (Integrated),1,0,0,0,435,0%,0%,0,0,0
659,Democratic Prajakranthi Party Secularist,1,0,0,0,429,0%,0%,0,0,0
660,Sanjhi Virasat Party,1,0,0,0,419,0%,0%,0,0,0
661,All Indians Party,1,0,0,0,396,0%,0.10%,0,0,0
662,Gareeb Aadmi Party,1,0,0,0,385,0%,0%,0,0,0
663,All Peoples Party,1,0,0,0,370,0%,0%,0,0,0
664,Rajyadhikara Party,1,0,0,0,368,0%,0%,0,0,0
665,Rashtriya Samta Vikas Party,1,0,0,0,349,0%,0%,0,0,0
666,Daksha Party,1,0,0,0,346,0%,0%,0,0,0
667,Tola Party,1,0,0,0,330,0%,0%,0,0,0
668,Corruption Abolition Party,1,0,0,0,275,0%,0%,0,0,0
669,Desh Janhit Party,1,0,0,0,273,0%,0%,0,0,0